epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.707,0.61086,2.35415,1.01121,0.30494,0.41136,0.27716,0.24722,0.45804,1.85108,0.94069,0.000195404,0.000195404,0.000195404
2,43.3784,0.60129,1.15612,0.98302,0.67001,0.494,0.48474,0.42334,0.53428,1.03475,1.02336,0.000383654,0.000383654,0.000383654
3,62.7315,0.60487,1.09046,0.98101,0.62159,0.45936,0.50328,0.43256,0.5257,1.12038,1.00987,0.000564143,0.000564143,0.000564143
4,81.564,0.59381,1.02657,0.97579,0.67301,0.54614,0.5278,0.46453,0.44906,0.96637,0.92975,0.000553073,0.000553073,0.000553073
5,100.148,0.57981,0.97373,0.97086,0.47046,0.7571,0.65111,0.60024,0.39945,0.81964,0.89886,0.00054143,0.00054143,0.00054143
6,118.883,0.56723,0.90079,0.96376,0.53887,0.61341,0.57719,0.5301,0.41362,0.85726,0.93814,0.000529788,0.000529788,0.000529788
7,137.553,0.55156,0.86521,0.95462,0.63046,0.62108,0.65104,0.60139,0.38959,0.72456,0.89103,0.000518146,0.000518146,0.000518146
8,156.018,0.54227,0.83594,0.9506,0.69608,0.58429,0.64727,0.58994,0.38535,0.7532,0.90271,0.000506503,0.000506503,0.000506503
9,174.634,0.54054,0.80457,0.95235,0.64764,0.63832,0.62907,0.58566,0.35665,0.81057,0.88505,0.000494861,0.000494861,0.000494861
10,193.153,0.52393,0.77707,0.93851,0.5363,0.78595,0.67361,0.62633,0.35956,0.7117,0.88527,0.000483218,0.000483218,0.000483218
11,211.729,0.52865,0.75139,0.94458,0.7262,0.58073,0.67004,0.62219,0.36918,0.72903,0.88661,0.000471576,0.000471576,0.000471576
12,230.695,0.52013,0.73167,0.93942,0.7136,0.62409,0.65731,0.61493,0.35043,0.75468,0.88027,0.000459934,0.000459934,0.000459934
13,249.15,0.51167,0.72994,0.9357,0.64939,0.68885,0.67986,0.63334,0.3467,0.6776,0.87682,0.000448291,0.000448291,0.000448291
14,267.731,0.50468,0.6979,0.93447,0.64058,0.73177,0.68702,0.63576,0.34364,0.72797,0.89645,0.000436649,0.000436649,0.000436649
15,286.284,0.50212,0.68158,0.93475,0.67846,0.68207,0.68158,0.64197,0.35055,0.72274,0.88124,0.000425006,0.000425006,0.000425006
16,304.838,0.49499,0.66838,0.92908,0.75049,0.6622,0.69088,0.64447,0.33174,0.65063,0.88924,0.000413364,0.000413364,0.000413364
17,323.424,0.49325,0.64305,0.92913,0.63419,0.68849,0.67729,0.63061,0.36007,0.7058,0.89881,0.000401722,0.000401722,0.000401722
18,342.066,0.48595,0.63871,0.92531,0.62237,0.73173,0.69617,0.65226,0.34073,0.68188,0.8765,0.000390079,0.000390079,0.000390079
19,360.611,0.48235,0.61456,0.9261,0.63669,0.75777,0.70306,0.6601,0.32916,0.66545,0.87925,0.000378437,0.000378437,0.000378437
20,379.714,0.47503,0.59815,0.92136,0.65701,0.69376,0.67269,0.61692,0.34552,0.664,0.87964,0.000366794,0.000366794,0.000366794
21,398.265,0.47464,0.5946,0.92128,0.54535,0.81857,0.70069,0.65502,0.3229,0.6472,0.88049,0.000355152,0.000355152,0.000355152
22,416.942,0.47296,0.5739,0.91799,0.56852,0.7833,0.72117,0.68084,0.31077,0.63405,0.86898,0.00034351,0.00034351,0.00034351
23,435.481,0.47045,0.57716,0.92111,0.69024,0.65803,0.71627,0.67722,0.32632,0.66327,0.87889,0.000331867,0.000331867,0.000331867
24,453.915,0.4631,0.57092,0.91738,0.62795,0.7204,0.71708,0.68161,0.3216,0.66656,0.87817,0.000320225,0.000320225,0.000320225
25,472.478,0.46035,0.55213,0.91423,0.72689,0.65016,0.71318,0.67645,0.32761,0.63978,0.86826,0.000308582,0.000308582,0.000308582
26,491.396,0.46403,0.54785,0.91648,0.79213,0.69147,0.75156,0.70977,0.30768,0.6221,0.87554,0.00029694,0.00029694,0.00029694
